"id","分類","非機能名","概要"
"non-001","可用性","サービス稼働率","デモ運用および評価期間中において、システムメンテナンス時を除き、原則として24時間365日の稼働を維持し、99.9%以上の稼働率を目標とする。"
"non-002","性能","応答性能","Next.jsの最適化機能とSupabaseのインデックスを活用し、標準的なモバイル通信環境下において、主要な画面遷移および検索結果の表示を3秒以内に完了させる。"
"non-003","ユーザビリティ","レスポンシブ対応とアクセシビリティ","セージグリーンとアースカラーを用いたデザインを維持しつつ、WCAG 2.1 レベルAAに準拠したコントラスト比を確保し、全画面でレスポンシブWebデザインを実現する。"
"non-004","セキュリティ","認証・認可の安全性","Google OAuth 2.0を用いた認証によりパスワード保持を回避し、SupabaseのRow Level Security (RLS) を用いて、自身の予約情報やポイント履歴以外にアクセスできない権限管理を徹底する。"
"non-005","信頼性","ポイント処理の整合性","LinkPointsの決済・返金処理において、データベースのトランザクション管理を行い、通信エラー発生時にも二重引き落としや整合性エラーが発生しないロジックを実装する。"
"non-006","運用・保守性","ログ・エラー監視","VercelおよびSupabaseのログ機能を活用し、システムエラーや不正なアクセス試行をリアルタイムで検知・記録し、管理者が迅速にトラブル対応を行える体制を構築する。"
"non-007","ユーザビリティ","PWAによる操作利便性","Progressive Web Appとして実装し、モバイル端末のホーム画面からの起動およびプッシュ通知を可能にすることで、ネイティブアプリと同等の操作感と通知の即時性を提供する。"
"non-008","セキュリティ","個人情報の保護","物件オーナーの住所詳細（利用ガイド内）などの機密情報は、予約確定後の借り手のみが閲覧できるようにし、不要な情報の露出を最小限に抑える。"
"non-009","拡張性","スケール可能性","Supabaseのサーバーレスアーキテクチャを採用することで、同時アクセス数や物件登録数の増加に柔軟に対応可能なスケーラビリティを確保する。"
"non-010","信頼性","データバックアップ","不測の事態に備え、Supabaseの自動バックアップ機能を有効化し、最短24時間前までの状態にデータを復旧できる体制を維持する。"